ID,BUSINESS_NAME,PROPERTY_ADDRESS,CITY,STATE,COUNTRY,FULL_ADDRESS,STATUS,NOTES
289,H STOCKTON PARK PLACE INC,4505 ASHFORD DUNWOODY RD,DUNWOODY,GEORGIA,USA,"4505 ASHFORD DUNWOODY RD DUNWOODY, GEORGIA USA",,
290,AMERICAN EAGLE OUTFITTERS #21,4400 ASHFORD DUNWOODY RD 1025,DUNWOODY,GEORGIA,USA,"4400 ASHFORD DUNWOODY RD 1025 DUNWOODY, GEORGIA USA",,
297,NANCY'S SHOPPE,5482 CHAMBLEE DUNWOODY RD 23A,DUNWOODY,GEORGIA,USA,"5482 CHAMBLEE DUNWOODY RD 23A DUNWOODY, GEORGIA USA",,
301,DESTINATION MATERNITY #1145,4400 ASHFORD DUNWOODY RD,DUNWOODY,GEORGIA,USA,"4400 ASHFORD DUNWOODY RD DUNWOODY, GEORGIA USA",,
303,LANE BRYANT INC #6637,4400 ASHFORD DUNWOODY RD 1010,DUNWOODY,GEORGIA,USA,"4400 ASHFORD DUNWOODY RD 1010 DUNWOODY, GEORGIA USA",,
304,SOMA INTIMATES #5024,4400 ASHFORD DUNWOODY RD 3025,DUNWOODY,GEORGIA,USA,"4400 ASHFORD DUNWOODY RD 3025 DUNWOODY, GEORGIA USA",,
306,J JILL,4400 ASHFORD DUNWOODY RD 1445,DUNWOODY,GEORGIA,USA,"4400 ASHFORD DUNWOODY RD 1445 DUNWOODY, GEORGIA USA",,
308,WHITE HOUSE/BLACK MARKET #305,4400 ASHFORD DUNWOODY RD 1450,DUNWOODY,GEORGIA,USA,"4400 ASHFORD DUNWOODY RD 1450 DUNWOODY, GEORGIA USA",,
309,GUESS,4400 ASHFORD DUNWOODY RD 2128,DUNWOODY,GEORGIA,USA,"4400 ASHFORD DUNWOODY RD 2128 DUNWOODY, GEORGIA USA",,
310,BCBG MAX AZRIA GROUP INC #630,4400 ASHFORD DUNWOODY RD 1455,DUNWOODY,GEORGIA,USA,"4400 ASHFORD DUNWOODY RD 1455 DUNWOODY, GEORGIA USA",,
312,ABERCROMBIE & FITCH #10683,4400 ASHFORD DUNWOODY RD 227,DUNWOODY,GEORGIA,USA,"4400 ASHFORD DUNWOODY RD 227 DUNWOODY, GEORGIA USA",,
315,NEW YORK & CO #5,4400 ASHFORD DUNWOODY RD,DUNWOODY,GEORGIA,USA,"4400 ASHFORD DUNWOODY RD DUNWOODY, GEORGIA USA",,
317,LOFT #1456,4400 ASHFORD DUNWOODY RD 1445,DUNWOODY,GEORGIA,USA,"4400 ASHFORD DUNWOODY RD 1445 DUNWOODY, GEORGIA USA",,
318,EXPRESS LLC #939,4400 ASHFORD DUNWOODY RD 1445,DUNWOODY,GEORGIA,USA,"4400 ASHFORD DUNWOODY RD 1445 DUNWOODY, GEORGIA USA",,
319,VICTORIA'S SECRET #96,4400 ASHFORD DUNWOODY RD,DUNWOODY,GEORGIA,USA,"4400 ASHFORD DUNWOODY RD DUNWOODY, GEORGIA USA",,
320,GRACE HOLMES/J CREW RETAIL #5,4400 ASHFORD DUNWOODY RD 2416,DUNWOODY,GEORGIA,USA,"4400 ASHFORD DUNWOODY RD 2416 DUNWOODY, GEORGIA USA",,
321,FOREVER XXI,4400 ASHFORD DUNWOODY RD 1315,DUNWOODY,GEORGIA,USA,"4400 ASHFORD DUNWOODY RD 1315 DUNWOODY, GEORGIA USA",,
327,GYMBOREE RETAIL STORES INC #9,4400 ASHFORD DUNWOODY RD 1610,DUNWOODY,GEORGIA,USA,"4400 ASHFORD DUNWOODY RD 1610 DUNWOODY, GEORGIA USA",,
329,HANNA ANDERSON LLC.,4400 ASHFORD DUNWOODY RD 1345,DUNWOODY,GEORGIA,USA,"4400 ASHFORD DUNWOODY RD 1345 DUNWOODY, GEORGIA USA",,
333,"BROOKS BROTHERS GROUP, INC",4400 ASHFORD DUNWOODY RD 1445,DUNWOODY,GEORGIA,USA,"4400 ASHFORD DUNWOODY RD 1445 DUNWOODY, GEORGIA USA",,
334,ZARA USA INC,4400 ASHFORD DUNWOODY RD 1445,DUNWOODY,GEORGIA,USA,"4400 ASHFORD DUNWOODY RD 1445 DUNWOODY, GEORGIA USA",,
335,ROSS DRESS FOR LESS,110 PERIMETER CENTER PL,DUNWOODY,GEORGIA,USA,"110 PERIMETER CENTER PL DUNWOODY, GEORGIA USA",,
336,OLD NAVY #5792,1161 HAMMOND DR 140,DUNWOODY,GEORGIA,USA,"1161 HAMMOND DR 140 DUNWOODY, GEORGIA USA",,
337,THE GAP #1302,4400 ASHFORD DUNWOODY RD 1122,DUNWOODY,GEORGIA,USA,"4400 ASHFORD DUNWOODY RD 1122 DUNWOODY, GEORGIA USA",,
338,MARSHALLS INC #563,1131 HAMMOND DR,DUNWOODY,GEORGIA,USA,"1131 HAMMOND DR DUNWOODY, GEORGIA USA",,
339,T J MAXX #104,134 PERIMETER CTR W,DUNWOODY,GEORGIA,USA,"134 PERIMETER CTR W DUNWOODY, GEORGIA USA",,
342,IT'S ABOUT TIME,4400 ASHFORD DUNWOODY RD 1445,DUNWOODY,GEORGIA,USA,"4400 ASHFORD DUNWOODY RD 1445 DUNWOODY, GEORGIA USA",,
343,SWIM N SPORT RETAIL INC,4400 ASHFORD DUNWOODY RD 2480,DUNWOODY,GEORGIA,USA,"4400 ASHFORD DUNWOODY RD 2480 DUNWOODY, GEORGIA USA",,
347,SHAPES DANCE & AEROBIC WEAR,5482 CHAMBLEE DUNWOODY RD A25,DUNWOODY,GEORGIA,USA,"5482 CHAMBLEE DUNWOODY RD A25 DUNWOODY, GEORGIA USA",,
349,ANTHROPOLOGIE INC,4400 ASHFORD DUNWOODY RD,DUNWOODY,GEORGIA,USA,"4400 ASHFORD DUNWOODY RD DUNWOODY, GEORGIA USA",,
351,STUART WEITZMAN,4400 ASHFORD DUNWOODY RD,DUNWOODY,GEORGIA,USA,"4400 ASHFORD DUNWOODY RD DUNWOODY, GEORGIA USA",,
353,STRIDE RITE #1410,4400 ASHFORD DUNWOODY RD 1128,DUNWOODY,GEORGIA,USA,"4400 ASHFORD DUNWOODY RD 1128 DUNWOODY, GEORGIA USA",,
354,THE WALKING COMPANY,4400 ASHFORD DUNWOODY RD 1445,DUNWOODY,GEORGIA,USA,"4400 ASHFORD DUNWOODY RD 1445 DUNWOODY, GEORGIA USA",,
357,JOHNSTON & MURPHY SHOP #1653,4400 ASHFORD DUNWOODY RD 1625,DUNWOODY,GEORGIA,USA,"4400 ASHFORD DUNWOODY RD 1625 DUNWOODY, GEORGIA USA",,
358,CLARKS SHOES #508,4400 ASHFORD DUNWOODY RD 1435,DUNWOODY,GEORGIA,USA,"4400 ASHFORD DUNWOODY RD 1435 DUNWOODY, GEORGIA USA",,
359,ALDO,4400 ASHFORD DUNWOODY RD 2410,DUNWOODY,GEORGIA,USA,"4400 ASHFORD DUNWOODY RD 2410 DUNWOODY, GEORGIA USA",,
